,triple,label,masked_triple
22591,Christopher Langton mother Jane Langton,mother,Christopher Langton [MASK] Jane Langton
22593,Abu Ishaq Ibrahim father Mu'izz al-Dawla,father,Abu Ishaq Ibrahim [MASK] Mu'izz al-Dawla
22594,King  mother Estrid Svendsdatter,mother,King  [MASK] Estrid Svendsdatter
22595,Cat Thief father Storm Cat,father,Cat Thief [MASK] Storm Cat
22596,Charles Jean-Baptiste Fleuriau father Joseph Fleuriau d'Armenonville,father,Charles Jean-Baptiste Fleuriau [MASK] Joseph Fleuriau d'Armenonville
22597,Mimas ( Aeneid ) father Amycus,father,Mimas ( Aeneid ) [MASK] Amycus
22598,Amycus  mother Theano,mother,Amycus  [MASK] Theano
22599,Teresa DÃ­az II de Haro father Diego LÃ³pez III de Haro,father,Teresa DÃ­az II de Haro [MASK] Diego LÃ³pez III de Haro
22600,"Diego LÃ³pez III de Haro  sex or gender female, mother Constanza de Bearne",mother,"Diego LÃ³pez III de Haro  sex or gender female, [MASK] Constanza de Bearne"
22601,Irene Doukaina Laskarina father Theodore II Laskaris,father,Irene Doukaina Laskarina [MASK] Theodore II Laskaris
22602,"Hugo GyldÃ©n occupation university teacher, father Nils Abraham GyldÃ©n",father,"Hugo GyldÃ©n occupation university teacher, [MASK] Nils Abraham GyldÃ©n"
22603,Elena BÄsescu father Traian BÄsescu,father,Elena BÄsescu [MASK] Traian BÄsescu
22604,Gjert Wilhelmsen father Anders Wilhelmsen,father,Gjert Wilhelmsen [MASK] Anders Wilhelmsen
22605,Meg Griffin mother Lois Griffin,mother,Meg Griffin [MASK] Lois Griffin
22607,Robert Gwisdek father Michael Gwisdek,father,Robert Gwisdek [MASK] Michael Gwisdek
22608,Michael Gwisdek  mother Corinna Harfouch,mother,Michael Gwisdek  [MASK] Corinna Harfouch
22609,Jan Gissberg  voice actor Thomas Funck,actor,Jan Gissberg  voice [MASK] Thomas Funck
22610,Khalid Mohamed mother Zubeida Begum,mother,Khalid Mohamed [MASK] Zubeida Begum
22611,Qin father Duke Dao,father,Qin [MASK] Duke Dao
22612,De la Gardie father Axel Julius,father,De la Gardie [MASK] Axel Julius
22613,Petteri Nummelin father Timo Nummelin,father,Petteri Nummelin [MASK] Timo Nummelin
22615,Ernest Jackson ( priest ) given name William,priest,Ernest Jackson ( [MASK] ) given name William
22616,"Bert Anciaux occupation Politician, father Vic Anciaux",father,"Bert Anciaux occupation Politician, [MASK] Vic Anciaux"
22618,George H. Morgan father George N. Morgan,father,George H. Morgan [MASK] George N. Morgan
22622,Tyler Christopher ( actor ) Eva Longoria,actor,Tyler Christopher ( [MASK] ) Eva Longoria
22623,"Hunter Carson occupation Film director, occupation television actor, sex or gender male, mother Karen Black",mother,"Hunter Carson occupation Film director, occupation television actor, sex or gender male, [MASK] Karen Black"
22624,"William Hayley ( priest ) occupation Priest, position held Dean",priest,"William Hayley ( [MASK] ) occupation Priest, position held Dean"
22627,Nathan Phelps father Fred Phelps,father,Nathan Phelps [MASK] Fred Phelps
22628,FlÃ¨che Wallonne ( women 's race ) points classification Anna van der Breggen,women,FlÃ¨che Wallonne ( [MASK] 's race ) points classification Anna van der Breggen
22630,Tithonus  mother Eos,mother,Tithonus  [MASK] Eos
22631,"Filip Topol occupation Writer, father Josef Topol",father,"Filip Topol occupation Writer, [MASK] Josef Topol"
22632,"Rienzi vowing to obtain justice for the death of his young brother , slain in a skirmish between the Colonna",brother,"Rienzi vowing to obtain justice for the death of his young [MASK] , slain in a skirmish between the Colonna"
22633,Dominique Lacasa father Frank SchÃ¶bel,father,Dominique Lacasa [MASK] Frank SchÃ¶bel
22634,Frank SchÃ¶bel  mother Aurora Lacasa,mother,Frank SchÃ¶bel  [MASK] Aurora Lacasa
22635,Shah  father Ebrahim Khan,father,Shah  [MASK] Ebrahim Khan
22636,Capussa father Oezalces,father,Capussa [MASK] Oezalces
22637,Hamza bin Laden father Osama bin Laden,father,Hamza bin Laden [MASK] Osama bin Laden
22638,"Cretheus  sex or gender male, mother Tyro",mother,"Cretheus  sex or gender male, [MASK] Tyro"
22639,Luis Somoza Debayle father Anastasio Somoza GarcÃ­a,father,Luis Somoza Debayle [MASK] Anastasio Somoza GarcÃ­a
22640,Charles Collin-Mezin Jr . father Charles Jean,father,Charles Collin-Mezin Jr . [MASK] Charles Jean
22641,Giorgos Xylouris father Psarantonis,father,Giorgos Xylouris [MASK] Psarantonis
22642,"Amenemopet ( princess ) noble title Princess, father Thutmose IV",princess,"Amenemopet ( [MASK] ) noble title Princess, father Thutmose IV"
22643,KÃ©vin Ledanois father Yvon Ledanois,father,KÃ©vin Ledanois [MASK] Yvon Ledanois
22644,"Murad Bakhsh noble title Prince, father Shah Jahan",father,"Murad Bakhsh noble title Prince, [MASK] Shah Jahan"
22646,Hartapu father Mursili III,father,Hartapu [MASK] Mursili III
22647,Princess of Orange father George II,father,Princess of Orange [MASK] George II
22648,"Andreas Feininger occupation Photographer, father Lyonel Feininger",father,"Andreas Feininger occupation Photographer, [MASK] Lyonel Feininger"
22649,"Talia Balsam occupation film actor, occupation television actor, father Martin Balsam",father,"Talia Balsam occupation film actor, occupation television actor, [MASK] Martin Balsam"
22650,Martin Balsam  mother Joyce Van Patten,mother,Martin Balsam  [MASK] Joyce Van Patten
22651,"Bol Bol occupation basketball player, father Manute Bol",father,"Bol Bol occupation basketball player, [MASK] Manute Bol"
22653,Autolycus  son of Deimachus,son,Autolycus  [MASK] of Deimachus
22654,CÃ¡tulo Castillo father JosÃ© GonzÃ¡lez Castillo,father,CÃ¡tulo Castillo [MASK] JosÃ© GonzÃ¡lez Castillo
22655,Brandon Cronenberg father David Cronenberg,father,Brandon Cronenberg [MASK] David Cronenberg
22657,Djimon Hounsou  voice actor Vin Diesel,actor,Djimon Hounsou  voice [MASK] Vin Diesel
22659,Alceo Galliera father Arnaldo Galliera,father,Alceo Galliera [MASK] Arnaldo Galliera
22660,Jean-Marie Obin father PhilomÃ© Obin,father,Jean-Marie Obin [MASK] PhilomÃ© Obin
22661,"RocÃ­o Carrasco occupation singer, father Pedro Carrasco",father,"RocÃ­o Carrasco occupation singer, [MASK] Pedro Carrasco"
22662,Pedro Carrasco  mother RocÃ­o Jurado,mother,Pedro Carrasco  [MASK] RocÃ­o Jurado
22663,Jackie Baumann father Dieter Baumann,father,Jackie Baumann [MASK] Dieter Baumann
22664,Duke of Aquitaine mother Emilienne,mother,Duke of Aquitaine [MASK] Emilienne
22665,"Michael Brokoff occupation sculptor, father Jan Brokoff",father,"Michael Brokoff occupation sculptor, [MASK] Jan Brokoff"
22666,Elbeuf  noble title duke of Elbeuf,duke,Elbeuf  noble title [MASK] of Elbeuf
22667,Saliha Sultan ( daughter of Mahmud II,daughter,Saliha Sultan ( [MASK] of Mahmud II
22668,"Mahmud II ) noble title Princess, mother AÅubcan KadÄ±n",mother,"Mahmud II ) noble title Princess, [MASK] AÅubcan KadÄ±n"
22669,Emma E. Hickox father Douglas Hickox,father,Emma E. Hickox [MASK] Douglas Hickox
22670,Ruben YttergÃ¥rd Jenssen father Truls Jenssen,father,Ruben YttergÃ¥rd Jenssen [MASK] Truls Jenssen
22671,Godegisel father Gondioc,father,Godegisel [MASK] Gondioc
22672,Eucleia father Heracles,father,Eucleia [MASK] Heracles
22673,Heracles  mother Myrto,mother,Heracles  [MASK] Myrto
22674,Miguel PiÃ±era father JosÃ© PiÃ±era Carvallo,father,Miguel PiÃ±era [MASK] JosÃ© PiÃ±era Carvallo
22675,Echenique  mother Magdalena Echenique,mother,Echenique  [MASK] Magdalena Echenique
22677,Josefa Celua father Seru Epenisa Cakobau,father,Josefa Celua [MASK] Seru Epenisa Cakobau
22678,YujiulÃ¼ Nagai father YujiulÃ¼ Tuhezhen,father,YujiulÃ¼ Nagai [MASK] YujiulÃ¼ Tuhezhen
22679,Charles I of Anjou  mother Beatrice,mother,Charles I of Anjou  [MASK] Beatrice
22680,Mohammad Ali Khan Zand father Karim Khan Zand,father,Mohammad Ali Khan Zand [MASK] Karim Khan Zand
22681,"Greg Mansell occupation racing automobile driver, father Nigel Mansell",father,"Greg Mansell occupation racing automobile driver, [MASK] Nigel Mansell"
22682,Matthieu Chedid  voice actor Matthieu Chedid,actor,Matthieu Chedid  voice [MASK] Matthieu Chedid
22683,Pia Trulsen father PÃ¥l Trulsen,father,Pia Trulsen [MASK] PÃ¥l Trulsen
22684,Palacus father Skilurus,father,Palacus [MASK] Skilurus
22685,"Rajat Bedi occupation Actor, father Narendra Bedi",father,"Rajat Bedi occupation Actor, [MASK] Narendra Bedi"
22686,Mauro MendonÃ§a Filho mother Rosamaria Murtinho,mother,Mauro MendonÃ§a Filho [MASK] Rosamaria Murtinho
22687,"Marija Lucija Stupica occupation painter, occupation Illustrator, father Gabrijel Stupica",father,"Marija Lucija Stupica occupation painter, occupation Illustrator, [MASK] Gabrijel Stupica"
22688,Gabrijel Stupica  mother Marlenka Stupica,mother,Gabrijel Stupica  [MASK] Marlenka Stupica
22689,Hugh Laurie  voice actor Geena Davis,actor,Hugh Laurie  voice [MASK] Geena Davis
22690,Geena Davis  voice actor Kevin Schon,actor,Geena Davis  voice [MASK] Kevin Schon
22691,Kevin Schon  voice actor Rino Romano,actor,Kevin Schon  voice [MASK] Rino Romano
22692,Theudebert I father Theuderic,father,Theudebert I [MASK] Theuderic
22693,Ealdgyth ( daughter of Ãlfgar  Earl of Mercia,daughter,Ealdgyth ( [MASK] of Ãlfgar  Earl of Mercia
22694,Rhonda Ross Kendrick mother Diana Ross,mother,Rhonda Ross Kendrick [MASK] Diana Ross
22695,"Duchess of Hohenberg noble title duchess, father Prince Felix",father,"Duchess of Hohenberg noble title duchess, [MASK] Prince Felix"
22696,Sarojini Mehta mother Vidyagauri Nilkanth,mother,Sarojini Mehta [MASK] Vidyagauri Nilkanth
22697,Redfoo father Berry Gordy,father,Redfoo [MASK] Berry Gordy
22698,Ali ibn Sabr ad-Din father Sabr ad-Din,father,Ali ibn Sabr ad-Din [MASK] Sabr ad-Din
22699,Diana Churchill ( actress ) Mervyn Johns,actress,Diana Churchill ( [MASK] ) Mervyn Johns
22700,Saint  mother Matilda,mother,Saint  [MASK] Matilda
22701,Lakshmana  mother Urmila,mother,Lakshmana  [MASK] Urmila
22702,Irwin Donenfeld father Harry Donenfeld,father,Irwin Donenfeld [MASK] Harry Donenfeld
22703,"Seun Kuti occupation singer, father Fela Kuti",father,"Seun Kuti occupation singer, [MASK] Fela Kuti"
22704,Li Lin ( physicist ) father Li Siguang,father,Li Lin ( physicist ) [MASK] Li Siguang
22705,Pyotr Sheremetev father Boris Sheremetev,father,Pyotr Sheremetev [MASK] Boris Sheremetev
22708,Cate Blanchett  voice actor Gerard Butler,actor,Cate Blanchett  voice [MASK] Gerard Butler
22714,Craig Ferguson  voice actor Kit Harington,actor,Craig Ferguson  voice [MASK] Kit Harington
22715,Kit Harington  voice actor Jay Baruchel,actor,Kit Harington  voice [MASK] Jay Baruchel
22717,T.J. Miller  voice actor Djimon Hounsou,actor,T.J. Miller  voice [MASK] Djimon Hounsou
22718,"Wichmann the Younger noble title Count, father Wichmann the Elder",father,"Wichmann the Younger noble title Count, [MASK] Wichmann the Elder"
22720,Mirza Basheer-ud-Din Mahmood Ahmad father Mirza Ghulam Ahmad,father,Mirza Basheer-ud-Din Mahmood Ahmad [MASK] Mirza Ghulam Ahmad
22721,Mirza Ghulam Ahmad  mother Nusrat Jahan Begum,mother,Mirza Ghulam Ahmad  [MASK] Nusrat Jahan Begum
22722,Zhizhi father XulÃ¼quanqu,father,Zhizhi [MASK] XulÃ¼quanqu
22723,Hamnet Shakespeare father William Shakespeare,father,Hamnet Shakespeare [MASK] William Shakespeare
22724,Thom Brennaman father Marty Brennaman,father,Thom Brennaman [MASK] Marty Brennaman
22725,John Hurt  voice actor Anthony Daniels,actor,John Hurt  voice [MASK] Anthony Daniels
22726,Anthony Daniels  voice actor Michael Graham Cox,actor,Anthony Daniels  voice [MASK] Michael Graham Cox
22727,Michael Graham Cox  voice actor William Squire,actor,Michael Graham Cox  voice [MASK] William Squire
22728,Luci Baines Johnson father Lyndon B. Johnson,father,Luci Baines Johnson [MASK] Lyndon B. Johnson
22729,"Lyndon B. Johnson  sex or gender female, mother Lady Bird Johnson",mother,"Lyndon B. Johnson  sex or gender female, [MASK] Lady Bird Johnson"
22730,Maria of Chernigov father Michael of Chernigov,father,Maria of Chernigov [MASK] Michael of Chernigov
22732,Sam Mirza Safavi father Ismail,father,Sam Mirza Safavi [MASK] Ismail
22734,Shachi father Puloman,father,Shachi [MASK] Puloman
22735,Bezalel father Uri,father,Bezalel [MASK] Uri
22736,Thomas Bullock ( priest ) position held Dean,priest,Thomas Bullock ( [MASK] ) position held Dean
22737,Ursula Dubosarsky father Peter Coleman,father,Ursula Dubosarsky [MASK] Peter Coleman
22738,Omar bin Laden father Osama bin Laden,father,Omar bin Laden [MASK] Osama bin Laden
22739,Britta Lejon mother Anna-Greta Leijon,mother,Britta Lejon [MASK] Anna-Greta Leijon
22740,Khalid bin Sultan Al Qasimi ( fashion designer ) father Sultan bin Muhammad Al-Qasimi,father,Khalid bin Sultan Al Qasimi ( fashion designer ) [MASK] Sultan bin Muhammad Al-Qasimi
22742,Tokugawa Shigeyoshi father Tokugawa Ieshige,father,Tokugawa Shigeyoshi [MASK] Tokugawa Ieshige
22743,Ghazi bin Muhammad father Prince Muhammad bin Talal,father,Ghazi bin Muhammad [MASK] Prince Muhammad bin Talal
22744,Jordan  mother Princess Firyal,mother,Jordan  [MASK] Princess Firyal
22745,Bridget Forrester father Eric Forrester,father,Bridget Forrester [MASK] Eric Forrester
22746,Eric Forrester  mother Brooke Logan,mother,Eric Forrester  [MASK] Brooke Logan
22747,Judah ( son of Jacob,son,Judah ( [MASK] of Jacob
22749,"Chalon-Arlay noble title Count, father John I",father,"Chalon-Arlay noble title Count, [MASK] John I"
22750,Tedisio Zaccaria father Manuele Zaccaria,father,Tedisio Zaccaria [MASK] Manuele Zaccaria
22751,Lolita Chammah father Ronald Chammah,father,Lolita Chammah [MASK] Ronald Chammah
22752,Ronald Chammah  mother Isabelle Huppert,mother,Ronald Chammah  [MASK] Isabelle Huppert
22753,Syamsul Yusof father Yusof Haslam,father,Syamsul Yusof [MASK] Yusof Haslam
22754,Henning Mankell ( composer ) father Emil Theodor Mankell,father,Henning Mankell ( composer ) [MASK] Emil Theodor Mankell
22755,Pierre Bokma  voice actor Frank Lammers,actor,Pierre Bokma  voice [MASK] Frank Lammers
22756,Laurence Chisholm Young father William Henry Young,father,Laurence Chisholm Young [MASK] William Henry Young
22757,William Henry Young  mother Grace Chisholm Young,mother,William Henry Young  [MASK] Grace Chisholm Young
22758,Kassel  mother Christine,mother,Kassel  [MASK] Christine
22759,Fredrik Stang father Emil Stang,father,Fredrik Stang [MASK] Emil Stang
22760,Alexandros Giotopoulos father Dimitris Giotopoulos,father,Alexandros Giotopoulos [MASK] Dimitris Giotopoulos
22761,"Walther Leisler Kiep occupation Politician, father Louis Leisler Kiep",father,"Walther Leisler Kiep occupation Politician, [MASK] Louis Leisler Kiep"
22762,"David Drake ( actor ) occupation Actor, occupation Playwright",actor,"David Drake ( [MASK] ) occupation Actor, occupation Playwright"
22763,Sri Alam father Alauddin al-Kahar,father,Sri Alam [MASK] Alauddin al-Kahar
22764,Ateca Ganilau father Kamisese Mara,father,Ateca Ganilau [MASK] Kamisese Mara
22765,Kamo no Yasunori father Kamo no Tadayuki,father,Kamo no Yasunori [MASK] Kamo no Tadayuki
22766,Jim Carrey  voice actor Jim Carrey,actor,Jim Carrey  voice [MASK] Jim Carrey
22767,Beatrice d'Avesnes father Baldwin,father,Beatrice d'Avesnes [MASK] Baldwin
22768,M.G.M. Pryor father Walter Marlborough Pryor,father,M.G.M. Pryor [MASK] Walter Marlborough Pryor
22769,Foix mother Philippa,mother,Foix [MASK] Philippa
22771,Attalus of Pergamum  mother Antiochis,mother,Attalus of Pergamum  [MASK] Antiochis
22773,Qifu Mumo father Qifu Chipan,father,Qifu Mumo [MASK] Qifu Chipan
22774,Art Fowler ( actor ) instrument Ukulele,actor,Art Fowler ( [MASK] ) instrument Ukulele
22775,Tsar  father Michael,father,Tsar  [MASK] Michael
22776,Happy Fella father Meadow Skipper,father,Happy Fella [MASK] Meadow Skipper
22777,Giovanni Manfredi father Ricard Manfredi,father,Giovanni Manfredi [MASK] Ricard Manfredi
22778,Oswiu  mother FÃ­n,mother,Oswiu  [MASK] FÃ­n
22779,Megumi Han mother Keiko Han,mother,Megumi Han [MASK] Keiko Han
22781,Karan Johar father Yash Johar,father,Karan Johar [MASK] Yash Johar
22782,Yash Johar  mother Hiroo Johar,mother,Yash Johar  [MASK] Hiroo Johar
22783,Albert Pryce-Jones father Pryce Pryce-Jones,father,Albert Pryce-Jones [MASK] Pryce Pryce-Jones
22784,Atupele Muluzi father Bakili Muluzi,father,Atupele Muluzi [MASK] Bakili Muluzi
22785,NyÃ´ father Anouvong,father,NyÃ´ [MASK] Anouvong
22786,Untash-Napirisha father Humban-Numena,father,Untash-Napirisha [MASK] Humban-Numena
22787,MarÃ­a Eugenia Rojas Correa father Gustavo Rojas Pinilla,father,MarÃ­a Eugenia Rojas Correa [MASK] Gustavo Rojas Pinilla
22788,"Isaac DÃ­az Pardo occupation painter, father Camilo DÃ­az BaliÃ±o",father,"Isaac DÃ­az Pardo occupation painter, [MASK] Camilo DÃ­az BaliÃ±o"
22790,Elsa Beata Bunge father Fabian Wrede,father,Elsa Beata Bunge [MASK] Fabian Wrede
22791,Li Jiji father Li Cunxu,father,Li Jiji [MASK] Li Cunxu
22792,Rosalie Varda mother AgnÃ¨s Varda,mother,Rosalie Varda [MASK] AgnÃ¨s Varda
22793,Mirabel  noble title lord of Ramla,lord,Mirabel  noble title [MASK] of Ramla
22794,Abu'l-Aswar Shavur ibn Fadl father Fadl ibn Muhammad,father,Abu'l-Aswar Shavur ibn Fadl [MASK] Fadl ibn Muhammad
22796,Chiang Hsiao-wen father Chiang Ching-kuo,father,Chiang Hsiao-wen [MASK] Chiang Ching-kuo
22797,Richard Godson father William Godson,father,Richard Godson [MASK] William Godson
22798,Angelina father Alexios III Angelos,father,Angelina [MASK] Alexios III Angelos
22799,Angelos  mother Euphrosyne Doukaina Kamatera,mother,Angelos  [MASK] Euphrosyne Doukaina Kamatera
22800,Stevens Thompson Norvell father John Norvell,father,Stevens Thompson Norvell [MASK] John Norvell
22801,Raimon Carrasco father Manuel Carrasco Formiguera,father,Raimon Carrasco [MASK] Manuel Carrasco Formiguera
22802,Manuel Carrasco Formiguera  mother Pilar Azemar,mother,Manuel Carrasco Formiguera  [MASK] Pilar Azemar
22804,Polemon Eupator father Polemon II,father,Polemon Eupator [MASK] Polemon II
22805,Cornelis van Cleve father Joos van Cleve,father,Cornelis van Cleve [MASK] Joos van Cleve
22806,Barbara Nowacka mother Izabela Jaruga-Nowacka,mother,Barbara Nowacka [MASK] Izabela Jaruga-Nowacka
22807,Abraham de Fabert father Abraham Fabert,father,Abraham de Fabert [MASK] Abraham Fabert
22808,Harmonia father Ares,father,Harmonia [MASK] Ares
22809,Molina  father Alfonso IX,father,Molina  [MASK] Alfonso IX
22810,LeÃ³n  mother Berengaria,mother,LeÃ³n  [MASK] Berengaria
22811,Masahiro Sakurai  voice actor Masahiro Sakurai,actor,Masahiro Sakurai  voice [MASK] Masahiro Sakurai
22812,TetsurÅ Tamba  voice actor Chizuru Ikewaki,actor,TetsurÅ Tamba  voice [MASK] Chizuru Ikewaki
22813,Chizuru Ikewaki  voice actor Aki Maeda,actor,Chizuru Ikewaki  voice [MASK] Aki Maeda
22814,Buckpasser father Tom Fool,father,Buckpasser [MASK] Tom Fool
22815,Tom Fool  mother Busanda,mother,Tom Fool  [MASK] Busanda
22816,Crispian Mills mother Hayley Mills,mother,Crispian Mills [MASK] Hayley Mills
22817,Mary Harriman Rumsey father E.H. Harriman,father,Mary Harriman Rumsey [MASK] E.H. Harriman
22818,Epinotia bilunana host Birch,host,Epinotia bilunana [MASK] Birch
22819,Tyler Walker ( footballer ) father Des Walker,father,Tyler Walker ( footballer ) [MASK] Des Walker
22820,Poet  father Josep MassanÃ¨s,father,Poet  [MASK] Josep MassanÃ¨s
22822,Muiz ud din Bahram father Iltutmish,father,Muiz ud din Bahram [MASK] Iltutmish
22823,Keiko Fujimori father Alberto Fujimori,father,Keiko Fujimori [MASK] Alberto Fujimori
22825,Macris father Aristaeus,father,Macris [MASK] Aristaeus
22826,AyÅe Hatun ( wife of Selim I ),wife,AyÅe Hatun ( [MASK] of Selim I )
22827,Selim I ) father MeÃ±li I Giray,father,Selim I ) [MASK] MeÃ±li I Giray
22828,"Hanne Skartveit occupation Journalist, father Andreas Skartveit",father,"Hanne Skartveit occupation Journalist, [MASK] Andreas Skartveit"
22829,"Moncalvo  sex or gender female, mother Argentina Spinola",mother,"Moncalvo  sex or gender female, [MASK] Argentina Spinola"
22830,Omar ( biblical figure ) father Eliphaz,father,Omar ( biblical figure ) [MASK] Eliphaz
22831,Marianus I of Torres father Andrew Tanca,father,Marianus I of Torres [MASK] Andrew Tanca
22832,Catherine FitzCharles father Charles II,father,Catherine FitzCharles [MASK] Charles II
22833,Adam Wakeman father Rick Wakeman,father,Adam Wakeman [MASK] Rick Wakeman
22834,Crataegus  host Rose,host,Crataegus  [MASK] Rose
22836,Keroessa father Zeus,father,Keroessa [MASK] Zeus
22838,Kunti father Shurasena,father,Kunti [MASK] Shurasena
22839,Mian Ghulam Shah Kalhoro father Noor Mohammad Kalhoro,father,Mian Ghulam Shah Kalhoro [MASK] Noor Mohammad Kalhoro
22840,Antigone of Troy father Laomedon,father,Antigone of Troy [MASK] Laomedon
22841,"Grete Natzler occupation Actor, occupation singer, occupation opera singer, father Leopold Natzler",father,"Grete Natzler occupation Actor, occupation singer, occupation opera singer, [MASK] Leopold Natzler"
22842,Ismene ( Asopid ) father Asopus,father,Ismene ( Asopid ) [MASK] Asopus
22843,Andronikos Komnenos ( son of John II ),son,Andronikos Komnenos ( [MASK] of John II )
22844,Cathal CÃº-cen-mÃ¡thair father Cathal,father,Cathal CÃº-cen-mÃ¡thair [MASK] Cathal
22845,Makiko Tanaka father Kakuei Tanaka,father,Makiko Tanaka [MASK] Kakuei Tanaka
22846,Wollstonecraft  mother Mary Wollstonecraft,mother,Wollstonecraft  [MASK] Mary Wollstonecraft
22847,Alan Clutton-Brock father Arthur Clutton-Brock,father,Alan Clutton-Brock [MASK] Arthur Clutton-Brock
22848,Nicomachus ( father of Aristotle,father,Nicomachus ( [MASK] of Aristotle
22850,Minsk  father Gleb Vseslavich,father,Minsk  [MASK] Gleb Vseslavich
22851,Adria Petty father Tom Petty,father,Adria Petty [MASK] Tom Petty
22852,Gaius Catellius Celer father Lucius Pompeius Vopiscus,father,Gaius Catellius Celer [MASK] Lucius Pompeius Vopiscus
22853,Jamie Lee Curtis  voice actor George Lopez,actor,Jamie Lee Curtis  voice [MASK] George Lopez
22854,George Lopez  voice actor Drew Barrymore,actor,George Lopez  voice [MASK] Drew Barrymore
22855,"Edward Twopeny occupation Politician, father Nowell Twopeny",father,"Edward Twopeny occupation Politician, [MASK] Nowell Twopeny"
22856,Kenneth Dokken father Arne Dokken,father,Kenneth Dokken [MASK] Arne Dokken
22857,James Gairdner father John Gairdner,father,James Gairdner [MASK] John Gairdner
22858,Jordan Larsson father Henrik Larsson,father,Jordan Larsson [MASK] Henrik Larsson
22859,Anton KÃ¶rberg father Tommy KÃ¶rberg,father,Anton KÃ¶rberg [MASK] Tommy KÃ¶rberg
22860,Tommy KÃ¶rberg  mother Anki LidÃ©n,mother,Tommy KÃ¶rberg  [MASK] Anki LidÃ©n
22861,Chizhi Shizhu Hou father Qiangqu,father,Chizhi Shizhu Hou [MASK] Qiangqu
22862,OphÃ©lie Claude-Boxberger father Jacky Boxberger,father,OphÃ©lie Claude-Boxberger [MASK] Jacky Boxberger
22864,Charles Melton ( actor ) character role Reggie Mantle,actor,Charles Melton ( [MASK] ) character role Reggie Mantle
22865,Ivan Hucko father JÃ¡n Hucko,father,Ivan Hucko [MASK] JÃ¡n Hucko
22866,Poet  mother Vanessa Bell,mother,Poet  [MASK] Vanessa Bell
22867,Stefan Zamoyski father ZdzisÅaw Zamoyski,father,Stefan Zamoyski [MASK] ZdzisÅaw Zamoyski
22868,"John K'Eogh occupation Author, father John Keogh",father,"John K'Eogh occupation Author, [MASK] John Keogh"
22869,Riley Keough father Danny Keough,father,Riley Keough [MASK] Danny Keough
22870,Danny Keough  mother Lisa Marie Presley,mother,Danny Keough  [MASK] Lisa Marie Presley
22871,Philip I Philadelphus mother Tryphaena,mother,Philip I Philadelphus [MASK] Tryphaena
22872,Richard Strachey father Edward Strachey,father,Richard Strachey [MASK] Edward Strachey
22873,Gerberga  wife of Carloman,wife,Gerberga  [MASK] of Carloman
22874,"Sverre Hagerup Bull occupation Composer, father Edvard Hagerup Bull",father,"Sverre Hagerup Bull occupation Composer, [MASK] Edvard Hagerup Bull"
22875,Tagishimimi father Emperor Jimmu,father,Tagishimimi [MASK] Emperor Jimmu
22876,A.J. Soprano father Tony Soprano,father,A.J. Soprano [MASK] Tony Soprano
22877,"George ThÃ©odore Berthon occupation painter, father RenÃ© ThÃ©odore Berthon",father,"George ThÃ©odore Berthon occupation painter, [MASK] RenÃ© ThÃ©odore Berthon"
22878,Doug E. Doug  voice actor Vincent Pastore,actor,Doug E. Doug  voice [MASK] Vincent Pastore
22879,Vincent Pastore  voice actor Peter Falk,actor,Vincent Pastore  voice [MASK] Peter Falk
22880,Peter Falk  voice actor Michael Imperioli,actor,Peter Falk  voice [MASK] Michael Imperioli
22881,Michael Imperioli  voice actor Katie Couric,actor,Michael Imperioli  voice [MASK] Katie Couric
22882,Katie Couric  voice actor Ziggy Marley,actor,Katie Couric  voice [MASK] Ziggy Marley
22883,Liu Feng father Liu Bei,father,Liu Feng [MASK] Liu Bei
22884,Eleanor of Brittany ( abbess ) mother Beatrice,mother,Eleanor of Brittany ( abbess ) [MASK] Beatrice
22885,Genista tinctoria  host Laburnum,host,Genista tinctoria  [MASK] Laburnum
22886,"Al-Mustazhir position held Abbasid caliph, father Al-Muqtadi",father,"Al-Mustazhir position held Abbasid caliph, [MASK] Al-Muqtadi"
22888,Murat Ozyegin father HÃ¼snÃ¼ ÃzyeÄin,father,Murat Ozyegin [MASK] HÃ¼snÃ¼ ÃzyeÄin
22889,Clepsis consimilana host Privet,host,Clepsis consimilana [MASK] Privet
22890,Robert Stack  voice actor Judd Nelson,actor,Robert Stack  voice [MASK] Judd Nelson
22891,Judd Nelson  voice actor Eric Idle,actor,Judd Nelson  voice [MASK] Eric Idle
22892,Eric Idle  voice actor Leonard Nimoy,actor,Eric Idle  voice [MASK] Leonard Nimoy
22893,Leonard Nimoy  voice actor Lionel Stander,actor,Leonard Nimoy  voice [MASK] Lionel Stander
22894,Stefan Konstantin father Stefan Milutin,father,Stefan Konstantin [MASK] Stefan Milutin
22896,Danius father Sisillius II,father,Danius [MASK] Sisillius II
22897,Juan Domingo Beckmann father Juan Beckmann Vidal,father,Juan Domingo Beckmann [MASK] Juan Beckmann Vidal
22898,Maria Carowsky father Johan Ross,father,Maria Carowsky [MASK] Johan Ross
22899,Raman Hui  voice actor Antonio Banderas,actor,Raman Hui  voice [MASK] Antonio Banderas
22900,Einar Sundt father Eilert Sundt,father,Einar Sundt [MASK] Eilert Sundt
22901,Sverre Lunde Pedersen father Jarle Pedersen,father,Sverre Lunde Pedersen [MASK] Jarle Pedersen
22902,Jean-Antoine Panet father Jean-Claude Panet,father,Jean-Antoine Panet [MASK] Jean-Claude Panet
22903,Chuck Powers  voice actor Sean Astin,actor,Chuck Powers  voice [MASK] Sean Astin
